"Biodiversity","Community Development","Climate Change","Alien Species","Pollinators","Wildlife","Habitat Degradation/fragmentation","Extinction","Migration_Animal","Marine/Coastal","Food(wild_game_forest)","Food(Fisheries_Aqua)","Food(Agric_Pastoral)","Poaching/Illegal harvest","Agriculture","Pastoralism","Aquaculture/Fisheries","Forestry","Pollution","Water/Rain","Energy","Economics","Tourism","Health","Inequality","Conflict","Mining","Poverty","Education","Population Growth","Migration_People","ILT Values and practices","Infrastructure/Technology","Governance","Urbanisation/Modernisation","Regional Integration"
"Biodiversity",0,13,16,8,2,14,18,4,4,4,4,8,18,6,24,15,7,20,8,20,8,27,14,15,9,11,7,10,14,13,10,24,23,25,14,6
"Community Development",13,0,17,6,1,10,16,2,1,4,3,5,18,5,22,13,5,14,6,23,5,24,8,13,10,7,5,12,17,12,12,20,21,23,11,8
"Climate Change",16,17,0,7,2,14,26,4,2,6,3,8,26,4,33,24,7,24,8,31,12,32,12,18,15,10,7,16,15,18,17,27,27,29,13,9
"Alien Species",8,6,7,0,1,5,8,2,0,1,0,2,7,1,7,3,2,9,3,11,2,10,5,6,3,1,3,2,6,5,2,9,11,8,5,2
"Pollinators",2,1,2,1,0,1,2,0,0,0,1,0,1,1,2,1,0,1,1,2,0,2,1,0,0,0,1,0,1,1,2,2,2,2,2,0
"Wildlife",14,10,14,5,1,0,14,1,4,2,4,4,17,6,21,14,2,12,6,18,4,21,9,11,8,6,4,9,10,9,9,17,14,18,7,3
"Habitat Degradation/fragmentation",18,16,26,8,2,14,0,4,3,5,3,8,26,6,32,23,6,29,9,33,15,36,12,19,17,12,6,16,19,19,16,30,31,31,18,8
"Extinction",4,2,4,2,0,1,4,0,0,2,0,4,2,0,3,3,3,4,2,3,2,4,3,3,2,3,1,2,2,3,2,4,4,4,2,2
"Migration_Animal",4,1,2,0,0,4,3,0,0,2,0,2,3,1,5,3,1,3,2,4,1,4,3,3,1,2,1,0,3,2,1,4,3,4,0,1
"Marine/Coastal",4,4,6,1,0,2,5,2,2,0,0,6,5,2,4,3,5,3,3,6,2,6,3,3,3,4,3,3,5,2,2,6,5,7,2,5
"Food(wild_game_forest)",4,3,3,0,1,4,3,0,0,0,0,0,2,3,6,5,2,3,0,4,0,7,2,2,1,1,0,1,3,1,3,4,2,5,2,0
"Food(Fisheries_Aqua)",8,5,8,2,0,4,8,4,2,6,0,0,10,3,10,8,9,8,5,10,4,11,5,5,6,7,4,7,5,4,4,10,9,12,5,4
"Food(Agric_Pastoral)",18,18,26,7,1,17,26,2,3,5,2,10,0,4,41,29,9,25,10,34,13,38,14,19,17,9,8,18,19,14,15,32,30,31,18,11
"Poaching/Illegal harvest",6,5,4,1,1,6,6,0,1,2,3,3,4,0,7,4,3,3,1,6,2,7,3,2,3,5,2,3,4,3,4,6,6,7,3,1
"Agriculture",24,22,33,7,2,21,32,3,5,4,6,10,41,7,0,38,8,34,11,42,13,44,17,22,18,12,7,20,22,22,21,40,35,39,20,10
"Pastoralism",15,13,24,3,1,14,23,3,3,3,5,8,29,4,38,0,6,24,8,28,11,31,14,15,15,11,3,16,14,12,15,29,24,26,16,9
"Aquaculture/Fisheries",7,5,7,2,0,2,6,3,1,5,2,9,9,3,8,6,0,7,5,7,5,10,5,5,6,6,4,5,6,2,4,10,9,11,4,4
"Forestry",20,14,24,9,1,12,29,4,3,3,3,8,25,3,34,24,7,0,10,30,14,36,11,21,16,10,7,16,17,20,15,29,29,29,18,7
"Pollution",8,6,8,3,1,6,9,2,2,3,0,5,10,1,11,8,5,10,0,11,5,11,5,7,6,6,4,6,9,7,6,10,11,11,7,4
"Water/Rain",20,23,31,11,2,18,33,3,4,6,4,10,34,6,42,28,7,30,11,0,13,40,14,20,18,11,7,17,23,21,17,34,35,36,15,10
"Energy",8,5,12,2,0,4,15,2,1,2,0,4,13,2,13,11,5,14,5,13,0,14,6,10,9,8,5,6,9,7,9,13,16,13,10,6
"Economics",27,24,32,10,2,21,36,4,4,6,7,11,38,7,44,31,10,36,11,40,14,0,17,26,20,12,8,22,26,22,19,41,39,40,21,10
"Tourism",14,8,12,5,1,9,12,3,3,3,2,5,14,3,17,14,5,11,5,14,6,17,0,14,11,8,5,9,13,7,8,16,16,16,8,7
"Health",15,13,18,6,0,11,19,3,3,3,2,5,19,2,22,15,5,21,7,20,10,26,14,0,16,8,6,15,20,14,14,22,24,25,13,10
"Inequality",9,10,15,3,0,8,17,2,1,3,1,6,17,3,18,15,6,16,6,18,9,20,11,16,0,11,6,14,15,11,12,17,19,20,10,7
"Conflict",11,7,10,1,0,6,12,3,2,4,1,7,9,5,12,11,6,10,6,11,8,12,8,8,11,0,4,7,9,6,9,12,13,14,8,7
"Mining",7,5,7,3,1,4,6,1,1,3,0,4,8,2,7,3,4,7,4,7,5,8,5,6,6,4,0,6,6,5,5,10,9,10,7,3
"Poverty",10,12,16,2,0,9,16,2,0,3,1,7,18,3,20,16,5,16,6,17,6,22,9,15,14,7,6,0,14,11,12,19,17,20,12,6
"Education",14,17,15,6,1,10,19,2,3,5,3,5,19,4,22,14,6,17,9,23,9,26,13,20,15,9,6,14,0,12,14,21,24,24,12,10
"Population Growth",13,12,18,5,1,9,19,3,2,2,1,4,14,3,22,12,2,20,7,21,7,22,7,14,11,6,5,11,12,0,12,19,19,20,10,4
"Migration_People",10,12,17,2,2,9,16,2,1,2,3,4,15,4,21,15,4,15,6,17,9,19,8,14,12,9,5,12,14,12,0,18,19,22,12,7
"ILT Values and practices",24,20,27,9,2,17,30,4,4,6,4,10,32,6,40,29,10,29,10,34,13,41,16,22,17,12,10,19,21,19,18,0,37,37,21,9
"Infrastructure/Technology",23,21,27,11,2,14,31,4,3,5,2,9,30,6,35,24,9,29,11,35,16,39,16,24,19,13,9,17,24,19,19,37,0,35,21,10
"Governance",25,23,29,8,2,18,31,4,4,7,5,12,31,7,39,26,11,29,11,36,13,40,16,25,20,14,10,20,24,20,22,37,35,0,19,11
"Urbanisation/Modernisation",14,11,13,5,2,7,18,2,0,2,2,5,18,3,20,16,4,18,7,15,10,21,8,13,10,8,7,12,12,10,12,21,21,19,0,7
"Regional Integration",6,8,9,2,0,3,8,2,1,5,0,4,11,1,10,9,4,7,4,10,6,10,7,10,7,7,3,6,10,4,7,9,10,11,7,0
