"country","count","lon","lat","weight","Authorship"
"Sweden",5,16.75289398,62.78917387,0.135135135135135,"First author"
"France",3,-2.77052452,42.17160095,0.0810810810810811,"First author"
"USA",8,-112.49310668,45.68715961,0.216216216216216,"First author"
"Netherlands",7,5.21412054,52.06812055,0.189189189189189,"First author"
"Malaysia",1,109.69770226,3.79239687,0.027027027027027,"First author"
"Ethiopia",1,39.60055108,8.62295174,0.027027027027027,"First author"
"UK",9,-2.8864099,54.14678254,0.243243243243243,"First author"
"South Africa",10,25.08773292,-29.00105188,0.27027027027027,"First author"
"Zimbabwe",1,29.85188462,-19.00253671,0.027027027027027,"First author"
"Cameroon",3,12.73708339,5.69312773,0.0810810810810811,"First author"
"Kenya",6,37.79622573,0.59808146,0.162162162162162,"First author"
"Ghana",2,-1.21646616,7.95379716,0.0540540540540541,"First author"
"Spain",2,-3.65680212,40.23690054,0.0540540540540541,"First author"
"Germany",9,10.38154835,51.10621317,0.243243243243243,"First author"
"Tanzania",2,34.81314561,-6.27505027,0.0540540540540541,"First author"
"Austria",2,14.13067289,47.58565692,0.0540540540540541,"First author"
"Indonesia",1,117.2721054,-2.22083111,0.027027027027027,"First author"
"India",1,79.61221374,22.88736601,0.027027027027027,"First author"
"Belgium",1,4.64012138,50.63740613,0.027027027027027,"First author"
"Brazil",1,-53.093972,-10.78278082,0.027027027027027,"First author"
"Czech Republic",1,15.3141031,49.73244821,0.027027027027027,"First author"
"Côte d’Ivoire",1,-5.56901056,7.62783904,0.027027027027027,"First author"
"Senegal",1,-14.47102989,14.36779409,0.027027027027027,"First author"
"Australia",2,134.49257185,-25.73236473,0.0540540540540541,"First author"
"Japan",1,137.99253526,37.55590074,0.027027027027027,"First author"
